workerID	im0	im1	im2	im3	im4	im5	im6	im7	im8	im9	im10	im11	im12	im13	im14	im15	im16	im17	im18	im19	im20	im21	im22	im23	im24	im25	im26	im27	im28	im29	im30	im31	im32	im33	im34	im35	im36	im37	im38	im39	im40	im41	im42	im43	im44	im45	im46	im47	im48	im49	im50	im51	im52	im53	im54	im55	im56	im57	im58	im59	im60	im61	im62	im63	im64	im65	im66	im67	im68	im69	im70	im71	im72	im73	im74	im75	im76	im77	im78	im79	im80	im81	im82	im83	im84	im85	im86	im87	im88	im89	im90	im91	im92	im93	im94	im95	im96	im97	im98	im99	im100	im101	im102	im103	im104	im105	im106	im107	
34761522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
34848318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
25368258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
30688710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	
33288655	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
34201742	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
29674710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
32333519	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
31839198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
29764965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
34588902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
26336231	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
34593000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
30550128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	
31820396	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
34864111	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	Count buildings with nonrectangular shapes	NA	Count buildings with nonrectangular shapes	NA	
9509334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
27316712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
12771826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	Count buildings with nonrectangular shapes	NA	NA	NA	
