19613+2015-11-08T20:13:36.529019+556+61265+516++2015-11-08T20:13:36.529067+++"{""question"": ""agradavel"", ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg""}"
19614+2015-11-08T20:15:47.402982+556+61748+516++2015-11-08T20:15:47.403015+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg""}"
19615+2015-11-08T20:16:02.955195+556+61808+516++2015-11-08T20:16:02.955230+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__90.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg""}"
19616+2015-11-08T20:16:46.835763+556+61832+516++2015-11-08T20:16:46.835797+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg""}"
19617+2015-11-08T20:17:03.103046+556+61927+516++2015-11-08T20:17:03.103079+++"{""question"": ""agradavel"", ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__0.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg""}"
19618+2015-11-08T20:17:11.075780+556+61594+516++2015-11-08T20:17:11.075813+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg""}"
19619+2015-11-08T20:17:20.267828+556+61586+516++2015-11-08T20:17:20.267862+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg""}"
19620+2015-11-08T20:17:29.776881+556+61496+516++2015-11-08T20:17:29.776919+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_270.jpg""}"
19621+2015-11-08T20:17:58.444490+556+61283+516++2015-11-08T20:17:58.444525+++"{""question"": ""agradavel"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg""}"
19622+2015-11-08T20:18:53.414126+556+61916+516++2015-11-08T20:18:53.414160+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_180.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg""}"
19625+2015-11-10T20:35:22.582892+556+61919+516++2015-11-10T20:35:22.582924+++"{""question"": ""agradavel"", ""theLess"": ""https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_180.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg""}"
19626+2015-11-10T20:37:31.594744+556+61426+516++2015-11-10T20:37:31.594777+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg""}"
19627+2015-11-12T13:47:50.239319+556+61270+697++2015-11-12T13:47:50.239354+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg""}"
19628+2015-11-12T13:48:02.779883+556+61698+697++2015-11-12T13:48:02.779919+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/catole/Rua_Aluisio_Cunha_Linha__50__270.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__48__90.jpg""}"
19629+2015-11-12T13:48:14.214274+556+61599+697++2015-11-12T13:48:14.214312+++"{""question"": ""agradavel"", ""theLess"": ""https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg"", ""theMost"": ""https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg""}"
19630+2015-11-12T13:48:23.643179+556+61442+697++2015-11-12T13:48:23.643213+++"{""question"": ""seguro"", ""theLess"": ""https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg"", ""theMost"": ""https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg""}"
