centro/Rua_Manoel_P._de_Araujo__370_180.jpg 2.06769230769
centro/Rua_Pedro_Alvares_Cabral__129_180.jpg 2.92538964304
centro/Rua_Augusto_Severo__71_0.jpg 2.9872297637
catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg 3.03162393162
centro/Rua_Elias_Aforas__202_180.jpg 3.0735042735
centro/Rua_Joao_da_Mata__490_90.jpg 3.17863247863
liberdade/Rua_Sergipe__1337_90.jpg 3.28021525799
liberdade/Rua_Riachuelo__455__0.jpg 3.34185035238
catole/Rua_Doutor_Antonio_Telha__68__270.jpg 3.36111111111
liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg 3.45586726998
liberdade/Rua_Santa_Catarina__1231__0.jpg 3.46777777778
catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 3.47130104463
centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg 3.47503373819
centro/Rua_Felix_Araujo__132__90.jpg 3.52247863248
centro/Rua_Felix_Araujo__48__270.jpg 3.54004524887
liberdade/Rua_Sergipe__1337_0.jpg 3.68005698006
centro/Rua_Augusto_Severo__71_90.jpg 3.6996712689
liberdade/Rua_Riachuelo__455__180.jpg 3.77094017094
centro/Rua_Elias_Aforas__202_0.jpg 3.86101055807
catole/Rua_Inacio_Marques_da_Silva__434_90.jpg 3.88438914027
liberdade/Rua_Riachuelo__930__180.jpg 3.89010989011
liberdade/Rua_Santa_Catarina__1231__180.jpg 3.92724189391
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg 3.93821733822
centro/Rua_Felix_Araujo__132__270.jpg 3.95641025641
catole/Rua_Doutor_Antonio_Telha__235_180.jpg 3.95692307692
catole/Rua_Doutor_Antonio_Telha__235_0.jpg 4.00771130104
centro/Rua_Manoel_P._de_Araujo__370_0.jpg 4.01106612686
catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 4.0673992674
liberdade/Rua_Edesio_Silva__602__180.jpg 4.09021592443
centro/Rua_Pedro_Alvares_Cabral__129_90.jpg 4.11693201497
centro/Rua_Elias_Aforas__67__180.jpg 4.14126305793
liberdade/Rua_Severino_Pimentel__439__0.jpg 4.17465483235
liberdade/Rua_Acre__635_270.jpg 4.17869822485
centro/Rua_Manoel_P._de_Araujo__150_270.jpg 4.18787878788
catole/Rua_Aluisio_Cunha_Linha__50__270.jpg 4.2141183919
catole/Rua_Aluisio_Cunha_Linha__50__90.jpg 4.29102564103
centro/Avenida_Dom_Pedro_II__119_270.jpg 4.30307692308
centro/Rua_Capitao_Joao_de_Sa__45__180.jpg 4.31153846154
centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg 4.3336996337
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 4.37179487179
centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg 4.41777777778
liberdade/Rua_Severino_Pimentel__511_270.jpg 4.43822843823
centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg 4.46081525312
liberdade/Rua_Severino_Pimentel__439__180.jpg 4.50358974359
liberdade/Rua_Espirito_Santo__1288__180.jpg 4.53148567119
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg 4.55128205128
liberdade/Rua_Riachuelo__930__0.jpg 4.55995855996
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg 4.59538461538
liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg 4.61757217142
centro/Rua_Joao_da_Mata__490_270.jpg 4.64803418803
catole/Rua_Olegario_Mariano__139_180.jpg 4.67538461538
centro/Rua_Capitao_Joao_de_Sa__45__0.jpg 4.69971509972
centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg 4.7033530572
centro/Rua_Elias_Aforas__67__0.jpg 4.74743589744
catole/Rua_Luisa_Bezerra_Mota__246_90.jpg 4.77867630945
catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg 4.80675213675
centro/Avenida_Barao_Rio_Branco__141_90.jpg 4.89076923077
liberdade/Rua_Severino_Pimentel__511_90.jpg 4.9258382643
catole/Rua_Inacio_Marques_da_Silva__434_270.jpg 4.93792735043
catole/Rua_Doutor_Antonio_Telha__68__90.jpg 4.93935693936
catole/Rua_Vigario_Calixto__1201_0.jpg 5.0154503616
centro/Rua_Felix_Araujo__48__90.jpg 5.02592791824
catole/Rua_Otacilio_Nepomuceno__76_0.jpg 5.04004144004
liberdade/Rua_Severino_Pimentel__321__180.jpg 5.04300094967
liberdade/Rua_Espirito_Santo__1288__0.jpg 5.08049382716
liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg 5.15205128205
liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg 5.18986193294
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg 5.20036630037
liberdade/Rua_Acre__635_90.jpg 5.20627577551
centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg 5.22125356125
liberdade/Rua_Severino_Pimentel__321__0.jpg 5.22769230769
centro/Avenida_Dom_Pedro_II__119_90.jpg 5.26820512821
catole/Rua_Olegario_Mariano__139_0.jpg 5.30599308099
centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 5.32916270972
catole/Rua_Olegario_Mariano__139_90.jpg 5.35299145299
liberdade/Rua_Riachuelo__847__180.jpg 5.42747252747
liberdade/Rua_Odon_Bezerra__388__270.jpg 5.43562271062
centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg 5.43736263736
liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg 5.47794871795
catole/Rua_Deputado_Ascendino_Moura__101__90.jpg 5.48918773534
catole/Rua_Luisa_Bezerra_Mota__246_270.jpg 5.49313186813
catole/Rua_Honorio_de_Melo__240__90.jpg 5.4975010175
centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg 5.50213675214
catole/Rua_Honorio_de_Melo__240__270.jpg 5.55205535206
centro/Avenida_Dom_Pedro_II__500_270.jpg 5.57452177452
liberdade/Rua_Riachuelo__847__0.jpg 5.62615384615
catole/Rua_Vigario_Calixto__1201_180.jpg 5.65651080945
centro/Avenida_Barao_Rio_Branco__141_270.jpg 5.65760683761
catole/Rua_Otacilio_Nepomuceno__76_90.jpg 5.65885225885
liberdade/Rua_Odon_Bezerra__147_270.jpg 5.67834757835
liberdade/Rua_Edesio_Silva__602__0.jpg 5.68909148465
catole/Rua_Joao_Francisco_Mota__64__270.jpg 5.70468864469
catole/Rua_Olegario_Mariano__139_270.jpg 5.82742673993
centro/Avenida_Dom_Pedro_II__500_90.jpg 5.84002849003
centro/Rua_Quebra_Quilos__399__90.jpg 5.85538461538
liberdade/Rua_Odon_Bezerra__147_90.jpg 5.90031488979
liberdade/Rua_Odon_Bezerra__306_90.jpg 5.91121794872
centro/Rua_Manoel_P._de_Araujo__150_90.jpg 5.93808367072
liberdade/Rua_Odon_Bezerra__388__90.jpg 5.97008547009
catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg 5.98207977208
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg 6.05666666667
catole/Rua_Joao_Francisco_Mota__64__90.jpg 6.06974358974
centro/Rua_Quebra_Quilos__399__270.jpg 6.09050332384
liberdade/Rua_Odon_Bezerra__306_270.jpg 6.11245852187
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg 6.61349527665
centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg 6.65445665446
centro/Rua_Doutor_Severino_Cruz__411__270.jpg 6.72258852259
centro/Rua_Doutor_Severino_Cruz__411__90.jpg 7.08965688096
