"V1" "V2" "V3" "V4" "V5"
"3" "floriano_7382.jpg" 1 1 0.00151285930408472 1
"4" "floriano_8262.jpg" 1 1 0.00151285930408472 1
"5" "rodrigues_1642.jpg" 2 2 0.00302571860816944 1
"6" "floriano_6962.jpg" 1 1 0.00151285930408472 1
"8" "floriano_7302.jpg" 1 1 0.00151285930408472 1
"9" "rodrigues_482.jpg" 2 2 0.00302571860816944 1
"10" "rodrigues_682.jpg" 4 4 0.00605143721633888 1
"12" "floriano_1662.jpg" 1 1 0.00151285930408472 1
"13" "rodrigues_1102.jpg" 2 2 0.00302571860816944 1
"18" "floriano_7482.jpg" 1 1 0.00151285930408472 1
"19" "floriano_8422.jpg" 2 2 0.00302571860816944 1
"20" "floriano_3402.jpg" 1 1 0.00151285930408472 1
"21" "floriano_2322.jpg" 1 1 0.00151285930408472 1
"24" "floriano_1222.jpg" 1 1 0.00151285930408472 1
"25" "rodrigues_962.jpg" 3 3 0.00453857791225416 1
"26" "floriano_1722.jpg" 1 1 0.00151285930408472 1
"27" "almirante_2002.jpg" 2 2 0.00302571860816944 1
"28" "floriano_8622.jpg" 1 1 0.00151285930408472 1
"29" "floriano_1862.jpg" 1 1 0.00151285930408472 1
"31" "floriano_2062.jpg" 1 1 0.00151285930408472 1
"33" "almirante_822.jpg" 1 1 0.00151285930408472 1
"36" "floriano_542.jpg" 1 1 0.00151285930408472 1
"40" "almirante_1762.jpg" 8 8 0.0121028744326778 1
"41" "floriano_722.jpg" 1 1 0.00151285930408472 1
"42" "floriano_2022.jpg" 1 1 0.00151285930408472 1
"43" "rodrigues_742.jpg" 4 4 0.00605143721633888 1
"44" "rodrigues_1622.jpg" 1 1 0.00151285930408472 1
"45" "floriano_1122.jpg" 1 1 0.00151285930408472 1
"47" "floriano_2662.jpg" 1 1 0.00151285930408472 1
"49" "floriano_2482.jpg" 1 1 0.00151285930408472 1
"52" "floriano_662.jpg" 1 1 0.00151285930408472 1
"56" "rodrigues_82.jpg" 5 5 0.0075642965204236 1
"57" "floriano_6922.jpg" 1 1 0.00151285930408472 1
"60" "rodrigues_1222.jpg" 4 4 0.00605143721633888 1
"61" "rodrigues_542.jpg" 2 2 0.00302571860816944 1
"69" "floriano_5402.jpg" 1 1 0.00151285930408472 1
"70" "floriano_7342.jpg" 1 1 0.00151285930408472 1
"73" "floriano_8522.jpg" 1 1 0.00151285930408472 1
"74" "floriano_422.jpg" 1 1 0.00151285930408472 1
"81" "rodrigues_322.jpg" 2 2 0.00302571860816944 1
"87" "rodrigues_1022.jpg" 3 3 0.00453857791225416 1
"88" "floriano_482.jpg" 2 2 0.00302571860816944 1
"90" "rodrigues_42.jpg" 2 2 0.00302571860816944 1
"91" "floriano_582.jpg" 1 1 0.00151285930408472 1
"93" "floriano_5162.jpg" 1 1 0.00151285930408472 1
"94" "floriano_502.jpg" 2 2 0.00302571860816944 1
"97" "rodrigues_1342.jpg" 1 1 0.00151285930408472 1
"99" "almirante_1302.jpg" 1 1 0.00151285930408472 1
"103" "rodrigues_942.jpg" 1 1 0.00151285930408472 1
"105" "rodrigues_282.jpg" 7 7 0.010590015128593 1
"106" "floriano_7882.jpg" 1 1 0.00151285930408472 1
"107" "almirante_2122.jpg" 1 1 0.00151285930408472 1
"109" "floriano_1022.jpg" 1 1 0.00151285930408472 1
"113" "floriano_8362.jpg" 1 1 0.00151285930408472 1
"115" "floriano_8202.jpg" 2 2 0.00302571860816944 1
"116" "floriano_6942.jpg" 1 1 0.00151285930408472 1
"119" "rodrigues_1302.jpg" 1 1 0.00151285930408472 1
"122" "floriano_2702.jpg" 1 1 0.00151285930408472 1
"124" "floriano_2842.jpg" 1 1 0.00151285930408472 1
